,coef,CI_low,CI_high,p,device
const,-0.028768427435997716,-0.7300327924896703,0.6724959376176749,0.9359152406390082,FLIR
T_atm,0.00032409302222063474,-0.017622376897863952,0.018270562942305224,0.9717649783153482,FLIR
Humidity,-1.853174502043642e-05,-0.001546753255929939,0.0015096897658890662,0.9810382998618066,FLIR
Distance,-0.0010338965948822763,-0.640627008757895,0.6385592155681304,0.9974720949774012,FLIR
Gender_Male,0.004917181861899536,-0.03941338735540936,0.04924775107920844,0.8278960404506968,FLIR
Eth_Black or African-American,-0.05920793311279783,-0.13371341166395925,0.015297545438363591,0.11934184284664884,FLIR
Eth_Hispanic/Latino,0.05661436637207335,-0.025711921340497927,0.13894065408464462,0.1777119773342004,FLIR
Eth_Multiracial,0.035599789033053365,-0.06791294948412996,0.1391125275502367,0.5002700497246926,FLIR
Eth_White,0.04121254863121075,-0.008489990924769791,0.0909150881871913,0.10412619159724941,FLIR
age_gt30,0.06292751798892188,-0.010145038223316957,0.13600007420116073,0.0914396197259546,FLIR
const,-0.06212020798772029,-0.5226149432126725,0.398374527237232,0.7914741168909648,ICI
T_atm,0.0012207078762744529,-0.017008136889909625,0.019449552642458533,0.895577214047832,ICI
Humidity,1.0710222721100073e-05,-0.003155922746807513,0.003177343192249713,0.9947108516925243,ICI
Distance,-0.0011197985577571206,-0.17318146709135737,0.17094186997584312,0.989822710014679,ICI
Gender_Male,0.029361582708806223,-0.019922404310128813,0.07864556972774125,0.24293817050040512,ICI
Eth_Black or African-American,-0.028545069224202538,-0.11345710555927468,0.05636696711086961,0.5099693120970424,ICI
Eth_Hispanic/Latino,0.03473730939921496,-0.06750199950098384,0.13697661829941377,0.5054580174768004,ICI
Eth_Multiracial,0.06138729148462316,-0.03416910465968662,0.15694368762893293,0.2079873282322704,ICI
Eth_White,0.03225585906194952,-0.026311334315512677,0.09082305243941172,0.2803874368233956,ICI
age_gt30,0.08558920589382457,-0.006944604633842583,0.17812301642149173,0.06985188773459107,ICI
const,-0.002800397215339784,-0.3891553382245627,0.3835545437938831,0.9886653866231071,Paired
T_atm,-0.0008894453534765677,-0.016823868142663092,0.015044977435709957,0.9128824958720013,Paired
Humidity,1.779768181355704e-05,-4.2008738699650014e-05,7.76041023267641e-05,0.5597169064787687,Paired
Distance,-0.0010330286083705142,-0.0021555432892778606,8.948607253683218e-05,0.07127567548701992,Paired
Gender_Male,0.014390459754043893,-0.028330743249043597,0.05711166275713138,0.5091218183325115,Paired
Eth_Black or African-American,-0.04989054635550376,-0.12349071030741333,0.023709617596405816,0.18398671662766564,Paired
Eth_Hispanic/Latino,0.03882104044709205,-0.045002068088296994,0.1226441489824811,0.36402662184364776,Paired
Eth_Multiracial,0.04347777739187338,-0.04565784126500148,0.13261339604874825,0.3390652834080027,Paired
Eth_White,0.03389237010013313,-0.016500243142291017,0.08428498334255727,0.1874348329147334,Paired
age_gt30,0.07237936190490511,-0.0032162523703550827,0.1479749761801653,0.06057618012810517,Paired
device_ICI,0.0007708566554208222,-0.015645045960068237,0.01718675927090988,0.926669569288228,Paired
